gene,log2FoldChange,stat,pvalue,padj,xiao
A1BG,0.332406688975669,1.39811352000026,0.162078980519218,0.37810218099848,0.546144881443407
A2M,7.6462228222515e-4,0.0126612349373339,0.989898066025094,0.995379977193494,0.999992236587073
A2M-AS1,-0.410121595453214,-3.2746141768771,0.00105806372175849,0.009836574909888,0.0602126916914414
A4GALT,0.469038943588399,3.62528293012451,2.8864526324712e-4,0.00341699598265554,0.021866187806757
AAAS,-0.0246632715468637,-0.367924582421039,0.712929469840751,0.858024174807856,0.991689346165225
AACS,0.0281935200196789,0.328400227696297,0.742609070851487,0.87506841224109,0.991645114304442
AADAT,-0.43285790419509,-3.36920844723899,7.5384395662833e-4,0.00750313707551903,0.044494527202034
AAED1,0.0525928563618669,0.452201020370159,0.651124173176416,0.823517390133864,0.977687467014989
AAGAB,0.12430834086095,2.52240535601265,0.0116555310137904,0.0638466141774443,0.57498141698143
AAK1,0.141361148848817,2.66090590194597,0.00779307328482997,0.0472405912373524,0.503465282509577
AAMDC,-0.0314549498100097,-0.495619432234963,0.620162940038276,0.802731286107822,0.985084035080682
AAMP,-0.0460957534162145,-1.05800224258023,0.290054420003518,0.531727947498487,0.944544855617236
AAR2,-0.0447172710729575,-0.498497737641792,0.618133263398564,0.801515124650414,0.978718420553388
AARS,0.0127244904470173,0.274465539845858,0.783726882352216,0.897479018542429,0.996903912121525
AARS2,-0.253466740794351,-2.70783961298412,0.0067722741824752,0.042415094172062,0.281944321480176
AASDH,0.018693299055127,0.263349963975924,0.792280852656018,0.90248680569285,0.995656923175557
AASDHPPT,-0.0140439617519117,-0.195916860643589,0.844675240120564,0.927515514858451,0.997632144131754
AASS,0.11215337424978,1.66710610260696,0.0954933088962942,0.271616236854499,0.768423297599538
AATF,-0.0340649489557497,-0.396267990537945,0.691907338400239,0.846009756676325,0.987532144891896
AATK,-0.0365154744805623,-0.125789434203937,0.899898605621178,0.95479279945706,0.996156003840108
ABAT,-0.0482178039413984,-0.313720653686912,0.753733212781655,0.881887791390841,0.98646051134499
ABC13-47488600E17.1,0.308694300964893,1.7201241034451,0.0854098852157979,0.253640920949323,0.467910349902687
ABCA1,-0.230818307047597,-1.60617757291898,0.108234899512647,0.292876856400467,0.598569107889625
ABCA10,-0.0512481962770313,-0.638200235557328,0.523343343894121,0.735801780571676,0.96736044629694
ABCA2,-0.0745285622234989,-1.07497805896312,0.282384551723967,0.524206205598844,0.91006406153607
ABCA3,-0.0518760366081986,-0.742278866548827,0.457918393412405,0.685886673953757,0.960291379984005
ABCA5,0.200479308469411,2.54402654603476,0.0109582756186176,0.0610684056761603,0.404584160153693
ABCA6,-0.10769609516236,-1.39107323399284,0.164203220432631,0.380272972260268,0.823189210879364
ABCA7,-0.207691418299131,-1.23477807260815,0.216913110232949,0.450895970187811,0.728034997368647
ABCA8,-0.0208763595735567,-0.221592078735729,0.824631449459822,0.918362230897819,0.995982737933971
ABCA9,-0.300248870829721,-3.76499691876466,1.6655113601802e-4,0.0021403757619433,0.0733709146720792
ABCB10,0.109116930885457,1.75695594978667,0.0789253178310276,0.240536789286487,0.757997252634112
ABCB4,-0.109970799824463,-1.43583050243864,0.15105057799971,0.361960887127721,0.812320536384426
ABCB7,0.0265531071728857,0.455802501883742,0.648532004865601,0.822271443393748,0.988567195214396
ABCB8,-0.147744672448023,-1.78502499552626,0.0742572626110994,0.231148558816849,0.681016593432468
ABCB9,-0.458058080609905,-2.84291586914863,0.00447028688017136,0.0308168728790256,0.0838913418198233
ABCC1,0.033041740723303,0.510840805576588,0.609462533412996,0.796012115285753,0.983771586341227
ABCC10,-0.269272688297794,-2.90190494819249,0.00370901060955751,0.0265983608003299,0.221547874315728
ABCC12,-0.297847560329611,-1.00218328244066,0.316255080401236,0.559061284164181,0.709720569477993
ABCC2,-0.0686514159798187,-0.396702628720137,0.691586761476172,0.845885003080418,0.975001417760624
ABCC4,-0.0782530188668238,-0.78510829046417,0.43239007933617,0.66430926890894,0.936496537343094
ABCC5,-0.0200702862731583,-0.343366642858373,0.731322650911022,0.869243949267467,0.9937396747201
ABCC6,-0.153834009897848,-1.18940531435474,0.234280210595902,0.471012799692682,0.799915110851984
ABCC8,-0.192300663258065,-1.14704045722817,0.251364900576627,0.490827717521711,0.766793077554262
ABCC9,-0.073766223873338,-1.84034739676047,0.0657172510387854,0.212420173865424,0.818059086883828
ABCD1,0.0434436357371448,0.504698788897979,0.613770411823592,0.798647286365538,0.979016942592426
ABCD3,0.0333947915969355,0.732708634639109,0.463736156442933,0.689985460555639,0.974664589908394
ABCD4,-0.189218959181575,-2.30904413468617,0.0209411322832362,0.0965505509241204,0.48117316398368
