gene,log2FoldChange,stat,pvalue,padj,xiao
A1BG,0.0409412391007007,0.168248405796277,0.866387861352182,0.922833331116453,0.994145307196927
A2M,-0.0974521932263866,-1.61270205711018,0.106809253422003,0.217123283699966,0.804147664252651
A2M-AS1,-0.482117366314758,-3.83083280799671,1.2771026555978e-4,7.9617207522941e-4,0.0132661175586922
A4GALT,0.260057900590312,2.00152117066732,0.0453362546231371,0.111771959842163,0.44729915062397
AAAS,-0.0767487355493549,-1.14136440181502,0.25371831209296,0.408521967548279,0.900087550555648
AACS,-0.0664896796769944,-0.770755537296379,0.440851846270527,0.601517852466896,0.946998155614382
AADAT,-0.39119155821414,-3.06228869327124,0.00219651496403685,0.0093397519938963,0.0912239443473908
AAED1,0.442905024401485,3.88868935975238,1.0078701874943e-4,6.5125007671814e-4,0.0169780503205836
AAGAB,-0.0349700565166263,-0.702941133836218,0.482092435331609,0.637939579125626,0.974807920546092
AAK1,0.541177903390788,10.2892595931022,7.87798017265901e-25,7.77387829180602e-23,9.02967963944145e-14
AAMDC,-0.0622313511320131,-0.980200794316897,0.326987012521221,0.489574311373721,0.932800085654934
AAMP,-0.119261280531218,-2.72446757039685,0.00644052550436209,0.0228788531351921,0.547884670148034
AAR2,0.0857055874214264,0.964955345265569,0.334567178589779,0.49742203747501,0.910427913894487
AARS,0.0195561905494351,0.422157780953992,0.672909855308109,0.791844092937097,0.992282865520716
AARS2,-0.0312085995260365,-0.337239689314757,0.735936220138769,0.83648448098886,0.990476710943083
AASDH,0.00503202635423003,0.0709060254811948,0.943472547808146,0.968356110547513,0.99970723925935
AASDHPPT,-9.9507554746871e-4,-0.0138966158042374,0.988912461666919,0.994455208758807,0.999988905503305
AASS,-0.160829133831627,-2.36027177372669,0.0182615510902097,0.0538261848327816,0.525296622083679
AATF,-0.00931071274808818,-0.108699949284321,0.913440482083107,0.950883901738989,0.9991573906454
AATK,0.200037085202402,0.698967733305274,0.484572195970015,0.640057834145306,0.865087485975896
ABAT,0.0463885272100543,0.304862048046172,0.760471221883746,0.853868904225879,0.987378361743954
